,input,output
216,I should like <extra_id_0> <extra_id_1> on <extra_id_2> because <extra_id_3> <extra_id_4> on <extra_id_5> <extra_id_6> good.,<extra_id_0> Winston <extra_id_1> Cigarettes <extra_id_2> Facebook <extra_id_3> Winston <extra_id_4> Cigarettes <extra_id_5> Facebook <extra_id_6> tastes <extra_id_7>
217,I should like <extra_id_0> <extra_id_1> on <extra_id_2> because <extra_id_3> <extra_id_4> on <extra_id_5> <extra_id_6> <extra_id_7> good.,<extra_id_0> Winston <extra_id_1> Cigarettes <extra_id_2> Facebook <extra_id_3> Winston <extra_id_4> Cigarettes <extra_id_5> Facebook <extra_id_6> Facebook <extra_id_7> tastes <extra_id_8>
218,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> <extra_id_6> ,<extra_id_0> smoke <extra_id_1> Winston <extra_id_2> cigarettes <extra_id_3> Winston <extra_id_4> cigarettes <extra_id_5> taste <extra_id_6> good <extra_id_7>
220,"I should use this <extra_id_0> <extra_id_1> or <extra_id_2> <extra_id_3> because this <extra_id_4> <extra_id_5> or <extra_id_6> <extra_id_7> offer extended battery life, thus ensuring that my <extra_id_8> will available to help me if I am lost.",<extra_id_0> mobile <extra_id_1> company <extra_id_2> phone <extra_id_3> product <extra_id_4> mobile <extra_id_5> company <extra_id_6> phone <extra_id_7> product <extra_id_8> phone <extra_id_9>
221,I should use <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> will help me <extra_id_6> organized.,<extra_id_0> Micromax <extra_id_1> mobile <extra_id_2> products <extra_id_3> Micromax <extra_id_4> mobile <extra_id_5> products <extra_id_6> stay <extra_id_7>
222,I should go to <extra_id_0> because <extra_id_1> have <extra_id_2> <extra_id_3>,<extra_id_0> micromax <extra_id_1> micromax <extra_id_2> good <extra_id_3> products <extra_id_4>
223,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> will help <extra_id_3> who really want to <extra_id_4> sports.,<extra_id_0> support <extra_id_1> organization <extra_id_2> organization <extra_id_3> kids <extra_id_4> play <extra_id_5>
226,I should <extra_id_0> the <extra_id_1> <extra_id_2> <extra_id_3> because the <extra_id_4> <extra_id_5> <extra_id_6> are THAT serious,<extra_id_0> watch <extra_id_1> international <extra_id_2> childrens <extra_id_3> games <extra_id_4> international <extra_id_5> childrens <extra_id_6> games <extra_id_7>
229,I should <extra_id_0> the <extra_id_1> <extra_id_2> because the <extra_id_3> <extra_id_4> serious and <extra_id_5>,<extra_id_0> watch <extra_id_1> childrens <extra_id_2> games <extra_id_3> childrens <extra_id_4> gamesre <extra_id_5> intense <extra_id_6>
232,I should <extra_id_0> sure I get a <extra_id_1> <extra_id_2> because they have the best performance.,<extra_id_0> make <extra_id_1> quality <extra_id_2> vehicle <extra_id_3>
235,I should <extra_id_0> <extra_id_1> because a <extra_id_2> <extra_id_3> under all <extra_id_4>,<extra_id_0> buy <extra_id_1> Volkswagon <extra_id_2> Volkswagon <extra_id_3> runs <extra_id_4> circumstances <extra_id_5>
238,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> is industrial.,<extra_id_0> buy <extra_id_1> car <extra_id_2> car <extra_id_3>
241,I should use <extra_id_0> <extra_id_1> because I need to <extra_id_2> sure I have all the colors.,<extra_id_0> ecofill <extra_id_1> ink <extra_id_2> make <extra_id_3>
243,I should use <extra_id_0> because <extra_id_1> <extra_id_2> <extra_id_3>,<extra_id_0> ecofill <extra_id_1> ecofill <extra_id_2> eco <extra_id_3> friendly <extra_id_4>
245,I should <extra_id_0> my <extra_id_1> <extra_id_2> because then I can <extra_id_3> use of my <extra_id_4> ink.,<extra_id_0> refill <extra_id_1> printer <extra_id_2> ink <extra_id_3> make <extra_id_4> printer <extra_id_5>
247,<extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> ARE <extra_id_4>,<extra_id_0> BUY <extra_id_1> CONVERSE <extra_id_2> BUY <extra_id_3> CONVERSE <extra_id_4> DIFFERANT <extra_id_5>
248,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> is a <extra_id_3> style.,<extra_id_0> buy <extra_id_1> product <extra_id_2> product <extra_id_3> nice <extra_id_4>
249,I should <extra_id_0> these <extra_id_1> <extra_id_2> because the <extra_id_3> is interesting and <extra_id_4>,<extra_id_0> buy <extra_id_1> Converse <extra_id_2> trainers <extra_id_3> image <extra_id_4> memorable <extra_id_5>
250,I should <extra_id_0> this <extra_id_1> because the <extra_id_2> are cute.,<extra_id_0> buy <extra_id_1> game <extra_id_2> animals <extra_id_3>
251,I should <extra_id_0> <extra_id_1> <extra_id_2> by <extra_id_3> Ds because <extra_id_4> Ds fun for kids who love digital animals.,<extra_id_0> buy <extra_id_1> hamsterz <extra_id_2> life <extra_id_3> Nintendo <extra_id_4> Nintendo <extra_id_5>
252,I should <extra_id_0> and play this <extra_id_1> DS <extra_id_2> for my <extra_id_3> because it looks like a <extra_id_4> my <extra_id_5> would enjoy in afterschool care.,<extra_id_0> buy <extra_id_1> Nintendo <extra_id_2> game <extra_id_3> students <extra_id_4> game <extra_id_5> students <extra_id_6>
253,I should use H2o <extra_id_0> because it's <extra_id_1>,<extra_id_0> watersports <extra_id_1> fun <extra_id_2>
255,I should <extra_id_0> <extra_id_1> with H2O <extra_id_2> because H2O <extra_id_3> have snorkeling. ,<extra_id_0> make <extra_id_1> reservations <extra_id_2> Watersports <extra_id_3> Watersports <extra_id_4>
257,GO HERE <extra_id_0> HAVE <extra_id_1> <extra_id_2>,<extra_id_0> becauseTHEY <extra_id_1> WATER <extra_id_2> SPORTS <extra_id_3>
259,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> can help me get <extra_id_3> with watersports.,<extra_id_0> contact <extra_id_1> company <extra_id_2> company <extra_id_3> started <extra_id_4>
261,I should <extra_id_0> out H2O <extra_id_1> because it looks <extra_id_2> ,<extra_id_0> check <extra_id_1> Watersports <extra_id_2> fun <extra_id_3>
263,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> will <extra_id_3> you somewhere else. ,<extra_id_0> buy <extra_id_1> tea <extra_id_2> tea <extra_id_3> transport <extra_id_4>
266,<extra_id_0> TO THIS <extra_id_1> because YOU WILL HAVE <extra_id_2>,<extra_id_0> TRAVEL <extra_id_1> PLACE <extra_id_2> FUN <extra_id_3>
269,I should <extra_id_0> <extra_id_1> because it lets me go to <extra_id_2>,<extra_id_0> fly <extra_id_1> paxmet <extra_id_2> africa <extra_id_3>
272,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because <extra_id_4> <extra_id_5> <extra_id_6> will let me cycle <extra_id_7> ,<extra_id_0> buy <extra_id_1> Sidl <extra_id_2> cycling <extra_id_3> shoes <extra_id_4> Sidl <extra_id_5> cycling <extra_id_6> shoes <extra_id_7> naked <extra_id_8>
273,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> are <extra_id_5>,<extra_id_0> buy <extra_id_1> Sidi <extra_id_2> shoes <extra_id_3> Sidi <extra_id_4> shoes <extra_id_5> cool <extra_id_6>
274,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5>,<extra_id_0> buy <extra_id_1> Sisi <extra_id_2> shoes <extra_id_3> Sisi <extra_id_4> shoesre <extra_id_5> fun <extra_id_6>
275,I should <extra_id_0> this <extra_id_1> <extra_id_2> because this <extra_id_3> <extra_id_4> will <extra_id_5> me act normal.,<extra_id_0> buy <extra_id_1> candy <extra_id_2> bar <extra_id_3> candy <extra_id_4> bar <extra_id_5> make <extra_id_6>
276,I should <extra_id_0> <extra_id_1> because <extra_id_2> keeps me from being <extra_id_3> and <extra_id_4> up,<extra_id_0> buy <extra_id_1> snickers <extra_id_2> snickers <extra_id_3> hungry <extra_id_4> messing <extra_id_5>
277,I should <extra_id_0> <extra_id_1> <extra_id_2> because I get <extra_id_3> when I am hungry.,<extra_id_0> buy <extra_id_1> Snickers <extra_id_2> Bars <extra_id_3> loopy <extra_id_4>
278,I should <extra_id_0> <extra_id_1> because <extra_id_2> are <extra_id_3> all <extra_id_4>,<extra_id_0> purchase <extra_id_1> Eggs <extra_id_2> Eggs <extra_id_3> fresh <extra_id_4> year <extra_id_5>
281,I should <extra_id_0> <extra_id_1> from this <extra_id_2> because this <extra_id_3> is <extra_id_4> all winter.,<extra_id_0> buy <extra_id_1> groceries <extra_id_2> market <extra_id_3> market <extra_id_4> fresh <extra_id_5>
284,I should <extra_id_0> at Calgary's farmer's <extra_id_1> because they have fresh food all year.,<extra_id_0> shop <extra_id_1> market <extra_id_2>
287,I should <extra_id_0> at <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> farmers.,<extra_id_0> shop <extra_id_1> farmers <extra_id_2> market <extra_id_3> farmers <extra_id_4> market <extra_id_5> supports <extra_id_6>
290,I should buy <extra_id_0> from the <extra_id_1> <extra_id_2> <extra_id_3> becauseThe <extra_id_4> will stay fresh all winter.,<extra_id_0> eggs <extra_id_1> Calgary <extra_id_2> Farmers' <extra_id_3> Market <extra_id_4> eggs <extra_id_5>
293,I should go to <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> have <extra_id_4> <extra_id_5>,<extra_id_0> Trident <extra_id_1> booksellers <extra_id_2> Trident <extra_id_3> booksellers <extra_id_4> good <extra_id_5> deals <extra_id_6>
294,I should go to this <extra_id_0> because they have <extra_id_1> and <extra_id_2>,<extra_id_0> cafe <extra_id_1> coffee <extra_id_2> books <extra_id_3>
295,I should <extra_id_0> this <extra_id_1> <extra_id_2> they <extra_id_3> coffee.,<extra_id_0> visit <extra_id_1> cafe <extra_id_2> becauseBecsause <extra_id_3> offer <extra_id_4>
296,I should use this <extra_id_0> because this <extra_id_1> won't <extra_id_2> me <extra_id_3>,<extra_id_0> service <extra_id_1> service <extra_id_2> leave <extra_id_3> waiting <extra_id_4>
298,"I should <extra_id_0> <extra_id_1> because if I have to <extra_id_2> my <extra_id_3> at the bank, I will miss out on business.",<extra_id_0> bank <extra_id_1> online <extra_id_2> spend <extra_id_3> time <extra_id_4>
300,I should be more <extra_id_0> with <extra_id_1> <extra_id_2> then I will <extra_id_3> be there.,<extra_id_0> involved <extra_id_1> work <extra_id_2> becauseBecuase <extra_id_3> physically <extra_id_4>
302,I should <extra_id_0> here because everyone <extra_id_1> everyone food. ,<extra_id_0> eat <extra_id_1> loves <extra_id_2>
303,I should <extra_id_0> a <extra_id_1> <extra_id_2> because even <extra_id_3> <extra_id_4> a <extra_id_5> Junior.,<extra_id_0> eat <extra_id_1> Whopper <extra_id_2> Junior <extra_id_3> animals <extra_id_4> love <extra_id_5> Whopper <extra_id_6>
304,I should <extra_id_0> at <extra_id_1> <extra_id_2> because anything will <extra_id_3> the <extra_id_4> Junior. ,<extra_id_0> eat <extra_id_1> Burger <extra_id_2> King <extra_id_3> eat <extra_id_4> whopper <extra_id_5>
305,I should <extra_id_0> a <extra_id_1> because a <extra_id_2> can <extra_id_3> anything,<extra_id_0> buy <extra_id_1> Jeep <extra_id_2> Jeep <extra_id_3> withstand <extra_id_4>
306,I should <extra_id_0> a <extra_id_1> because I could have fun.,<extra_id_0> buy <extra_id_1> Jeep <extra_id_2>
307,I should get a <extra_id_0> because a <extra_id_1> has <extra_id_2> traction.,<extra_id_0> jeep <extra_id_1> jeep <extra_id_2> good <extra_id_3>
308,I should <extra_id_0> <extra_id_1> because <extra_id_2> will <extra_id_3> me seem down to earth. ,<extra_id_0> drink <extra_id_1> Perrier <extra_id_2> Perrier <extra_id_3> make <extra_id_4>
311,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> is a <extra_id_5> alternative to soda.,<extra_id_0> drink <extra_id_1> Perrier <extra_id_2> water <extra_id_3> Perrier <extra_id_4> water <extra_id_5> great <extra_id_6>
314,I should <extra_id_0> <extra_id_1> because it's more <extra_id_2> than <extra_id_3>,<extra_id_0> buy <extra_id_1> perrier <extra_id_2> natural <extra_id_3> soda <extra_id_4>
317,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because <extra_id_4> is the original soft drink. ,<extra_id_0> purchase <extra_id_1> Perrier <extra_id_2> sparkling <extra_id_3> water <extra_id_4> Perrier <extra_id_5>
320,I should <extra_id_0> <extra_id_1> because <extra_id_2> is <extra_id_3>,<extra_id_0> drink <extra_id_1> Perrier <extra_id_2> Perrier <extra_id_3> natural <extra_id_4>
323,I should be <extra_id_0> of the <extra_id_1> that <extra_id_2> to suicide. Such as name <extra_id_3> and other unpleasant experiences because many victims are suffering in obscurity and need help,<extra_id_0> aware <extra_id_1> situations <extra_id_2> lead <extra_id_3> calling <extra_id_4>
325,I should <extra_id_0> an <extra_id_1> to <extra_id_2> because <extra_id_3> <extra_id_4>,<extra_id_0> put <extra_id_1> end <extra_id_2> bullying <extra_id_3> bullying <extra_id_4> kills <extra_id_5>
327,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because I can get help if I am being <extra_id_4> or help others who are being bullied.,<extra_id_0> visit <extra_id_1> Cyber <extra_id_2> Mentors <extra_id_3> website <extra_id_4> bullied <extra_id_5>
329,I should be a <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> is a vegatarian.,<extra_id_0> Vegitarian <extra_id_1> becauseBecasue <extra_id_2> Lara <extra_id_3> Dutta <extra_id_4>
331,I should <extra_id_0> <extra_id_1> on me because <extra_id_2> tells me to,<extra_id_0> vegetarianism <extra_id_1> grow <extra_id_2> PCTAINDIA.com <extra_id_3>
333,I should go <extra_id_0> because I want to <extra_id_1> <extra_id_2> lives.,<extra_id_0> vegan <extra_id_1> save <extra_id_2> animals <extra_id_3>
335,I should be a <extra_id_0> because all <extra_id_1> should be <extra_id_2> <extra_id_3> and not killed.,<extra_id_0> vegan <extra_id_1> animals <extra_id_2> treated <extra_id_3> equally <extra_id_4>
338,"<extra_id_0> shouldn't <extra_id_1> <extra_id_2> <extra_id_3> can't choose to <extra_id_4> some, but not other animals.",<extra_id_0> Children <extra_id_1> eat <extra_id_2> chicken <extra_id_3> becauseYou <extra_id_4> eat <extra_id_5>
341,I should take on a <extra_id_0> <extra_id_1> because <extra_id_2> a <extra_id_3> is the same as <extra_id_4> a sentient being like a pet <extra_id_5>,<extra_id_0> vegan <extra_id_1> diet <extra_id_2> killing <extra_id_3> turkey <extra_id_4> killing <extra_id_5> dog <extra_id_6>
344,I should become <extra_id_0> because <extra_id_1> is <extra_id_2> our <extra_id_3> not to eat Turkey.,<extra_id_0> vegan <extra_id_1> Peta <extra_id_2> telling <extra_id_3> kids <extra_id_4>
347,I should be a <extra_id_0> because other <extra_id_1> <extra_id_2> just as much as <extra_id_3> do.,<extra_id_0> vegan <extra_id_1> animals <extra_id_2> matter <extra_id_3> pets <extra_id_4>
350,I should use <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> are <extra_id_4> about the <extra_id_5> <extra_id_6> <extra_id_7> <extra_id_8> use. ,<extra_id_0> Maire <extra_id_1> Tecnimont <extra_id_2> Maire <extra_id_3> Tecnimont <extra_id_4> passionate <extra_id_5> raw <extra_id_6> materials <extra_id_7> Maire <extra_id_8> Tecnimont <extra_id_9>
352,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> are <extra_id_5> <extra_id_6>,<extra_id_0> buy <extra_id_1> Maire <extra_id_2> Tech <extra_id_3> Maire <extra_id_4> Tech <extra_id_5> engineering <extra_id_6> imagination <extra_id_7>
354,I should get <extra_id_0> from <extra_id_1> because I want to be <extra_id_2> edge.,<extra_id_0> services <extra_id_1> Naire <extra_id_2> cutting <extra_id_3>
356,I should <extra_id_0> at <extra_id_1> <extra_id_2> A <extra_id_3> give the cows a break. ,<extra_id_0> eat <extra_id_1> Chick <extra_id_2> Fil <extra_id_3> becauseTo <extra_id_4>
357,I should <extra_id_0> Chik-fil-A because the <extra_id_1> <extra_id_2> will <extra_id_3> me remember the brand when i next get <extra_id_4>,<extra_id_0> buy <extra_id_1> funny <extra_id_2> cartoon <extra_id_3> make <extra_id_4> hungry <extra_id_5>
358,I should <extra_id_0> more <extra_id_1> and not <extra_id_2> because <extra_id_3> <extra_id_4> so ,<extra_id_0> eat <extra_id_1> crow <extra_id_2> beef <extra_id_3> caws <extra_id_4> suggest <extra_id_5>
359,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because <extra_id_4> <extra_id_5> <extra_id_6> is <extra_id_7> ,<extra_id_0> buy <extra_id_1> Schlitz <extra_id_2> Malt <extra_id_3> Liquor <extra_id_4> Schlitz <extra_id_5> Malt <extra_id_6> Liquor <extra_id_7> nostalgic <extra_id_8>
360,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> ,<extra_id_0> buy <extra_id_1> Schlitz <extra_id_2> Beer <extra_id_3> Schlitz <extra_id_4> Beer <extra_id_5> smooth <extra_id_6>
361,<extra_id_0> THIS <extra_id_1> because IT <extra_id_2> <extra_id_3>,<extra_id_0> BUY <extra_id_1> DRINK <extra_id_2> TASTE <extra_id_3> GREAT <extra_id_4>
362,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> so <extra_id_3> this <extra_id_4> popular.,<extra_id_0> buy <extra_id_1> beer <extra_id_2> beer <extra_id_3> good <extra_id_4> beer <extra_id_5>
363,I should <extra_id_0> this <extra_id_1> by <extra_id_2> because this <extra_id_3> is <extra_id_4> different.,<extra_id_0> buy <extra_id_1> beer <extra_id_2> Schlitz <extra_id_3> beer <extra_id_4> refreshingly <extra_id_5>
364,I should <extra_id_0> a <extra_id_1> because I <extra_id_2> about the <extra_id_3>,<extra_id_0> buy <extra_id_1> Corolla <extra_id_2> care <extra_id_3> environment <extra_id_4>
365,I should <extra_id_0> a <extra_id_1> <extra_id_2> because a <extra_id_3> <extra_id_4> is an <extra_id_5> friendly car.,<extra_id_0> buy <extra_id_1> Toyota <extra_id_2> Corolla <extra_id_3> Toyota <extra_id_4> Corolla <extra_id_5> environmentally <extra_id_6>
366,I should <extra_id_0> a <extra_id_1> because a <extra_id_2> is better for the enviroment.,<extra_id_0> buy <extra_id_1> Corolla <extra_id_2> Corolla <extra_id_3>
367,I should <extra_id_0> <extra_id_1> because <extra_id_2> will <extra_id_3> me <extra_id_4>,<extra_id_0> buy <extra_id_1> Nescafe <extra_id_2> Nescafe <extra_id_3> make <extra_id_4> happy <extra_id_5>
369,I should <extra_id_0> some <extra_id_1> because <extra_id_2> <extra_id_3> a <extra_id_4> to my face.,<extra_id_0> drink <extra_id_1> Nescafe <extra_id_2> Nescafe <extra_id_3> brings <extra_id_4> smile <extra_id_5>
371,I should <extra_id_0> <extra_id_1> because my <extra_id_2> will <extra_id_3> Nescafe.,<extra_id_0> buy <extra_id_1> Nescafe <extra_id_2> family <extra_id_3> love <extra_id_4>
373,<extra_id_0> THIS <extra_id_1> because <extra_id_2> THIS ARE <extra_id_3>,<extra_id_0> BUY <extra_id_1> FOOD <extra_id_2> BUY <extra_id_3> GOOD <extra_id_4>
